,x,y
wrist,0.36458098888397217,0.9760589599609375
thumb_cmc,0.4168962240219116,0.969245195388794
thumb_mcp,0.4727543592453003,0.948333203792572
thumb_ip,0.5092098712921143,0.9313635230064392
thumb_tip,0.5231449604034424,0.90639328956604
index_finger_mcp,0.4432218670845032,0.8896806240081787
index_finger_pip,0.44130653142929077,0.8135738372802734
index_finger_dip,0.43163159489631653,0.8376479744911194
index_finger_tip,0.4268491864204407,0.874091625213623
middle_finger_mcp,0.4082443416118622,0.8750802278518677
middle_finger_pip,0.41858211159706116,0.7988337874412537
middle_finger_dip,0.41093140840530396,0.8289870023727417
middle_finger_tip,0.4052260220050812,0.8710194826126099
ring_finger_mcp,0.3755532205104828,0.8639382123947144
ring_finger_pip,0.38502535223960876,0.7983850240707397
ring_finger_dip,0.3777632713317871,0.8328844904899597
ring_finger_tip,0.3736516833305359,0.8743475675582886
pinky_mcp,0.3437565267086029,0.8554370403289795
pinky_pip,0.3503977954387665,0.8080461621284485
pinky_dip,0.3447723090648651,0.8404085636138916
pinky_tip,0.340903103351593,0.8765695691108704
wrist,0.3922003209590912,0.8844221830368042
thumb_cmc,0.4463053047657013,0.8747073411941528
thumb_mcp,0.4897688627243042,0.8456109762191772
thumb_ip,0.5236853957176208,0.8201153874397278
thumb_tip,0.5377651453018188,0.7906115651130676
index_finger_mcp,0.4485757648944855,0.7504187226295471
index_finger_pip,0.45373955368995667,0.6858249306678772
index_finger_dip,0.45517995953559875,0.696155309677124
index_finger_tip,0.45382407307624817,0.722754180431366
middle_finger_mcp,0.41567009687423706,0.7434751391410828
middle_finger_pip,0.42207828164100647,0.6773123741149902
middle_finger_dip,0.4222174286842346,0.6986377239227295
middle_finger_tip,0.42147547006607056,0.7281401753425598
ring_finger_mcp,0.3868680000305176,0.7459338903427124
ring_finger_pip,0.3940264880657196,0.6785274147987366
ring_finger_dip,0.3929835855960846,0.6978569626808167
ring_finger_tip,0.39073488116264343,0.7286921143531799
pinky_mcp,0.36134204268455505,0.7562059164047241
pinky_pip,0.3645411431789398,0.6986327171325684
pinky_dip,0.3629262447357178,0.7086706161499023
pinky_tip,0.3599678874015808,0.7332441210746765
wrist,0.4012206196784973,0.8589605689048767
thumb_cmc,0.45827946066856384,0.8173538446426392
thumb_mcp,0.49772101640701294,0.7752427458763123
thumb_ip,0.5236541032791138,0.7404091954231262
thumb_tip,0.5463573932647705,0.707798957824707
index_finger_mcp,0.45156604051589966,0.7076531648635864
index_finger_pip,0.45876508951187134,0.6568530797958374
index_finger_dip,0.4652085304260254,0.6239385604858398
index_finger_tip,0.47246554493904114,0.5926975011825562
middle_finger_mcp,0.4227595329284668,0.7022936940193176
middle_finger_pip,0.4227743446826935,0.647856593132019
middle_finger_dip,0.4265887141227722,0.609545111656189
middle_finger_tip,0.43223804235458374,0.5744535326957703
ring_finger_mcp,0.396274596452713,0.7087859511375427
ring_finger_pip,0.39066752791404724,0.6575667858123779
ring_finger_dip,0.38826578855514526,0.6196393966674805
ring_finger_tip,0.38921552896499634,0.5842704772949219
pinky_mcp,0.37327107787132263,0.7274273037910461
pinky_pip,0.35916128754615784,0.6866912841796875
pinky_dip,0.35058560967445374,0.6584466099739075
pinky_tip,0.3450724482536316,0.6318183541297913
wrist,0.428156316280365,0.7572697401046753
thumb_cmc,0.47578269243240356,0.7340403199195862
thumb_mcp,0.513286828994751,0.6907058954238892
thumb_ip,0.5376400351524353,0.6513416767120361
thumb_tip,0.5603237152099609,0.6234607100486755
index_finger_mcp,0.46893057227134705,0.6030023097991943
index_finger_pip,0.4790274202823639,0.5454785227775574
index_finger_dip,0.4863523840904236,0.5146870613098145
index_finger_tip,0.4942171275615692,0.4866589903831482
middle_finger_mcp,0.4403684139251709,0.5973315834999084
middle_finger_pip,0.44331228733062744,0.5244448781013489
middle_finger_dip,0.44915664196014404,0.4836677312850952
middle_finger_tip,0.4560621380805969,0.44810450077056885
ring_finger_mcp,0.4138811230659485,0.6081887483596802
ring_finger_pip,0.40823638439178467,0.5445460081100464
ring_finger_dip,0.40988466143608093,0.5089249014854431
ring_finger_tip,0.41501712799072266,0.47663670778274536
pinky_mcp,0.38874495029449463,0.6319490671157837
pinky_pip,0.3735983669757843,0.589506208896637
pinky_dip,0.36692214012145996,0.5631856918334961
pinky_tip,0.3640446066856384,0.537242591381073
wrist,0.42440932989120483,0.7322558164596558
thumb_cmc,0.47828546166419983,0.690740168094635
thumb_mcp,0.5134491920471191,0.6393406987190247
thumb_ip,0.5381883382797241,0.6010315418243408
thumb_tip,0.5627159476280212,0.5709031820297241
index_finger_mcp,0.47161775827407837,0.5612565279006958
index_finger_pip,0.47778260707855225,0.5090347528457642
index_finger_dip,0.484874427318573,0.47602999210357666
index_finger_tip,0.4923627972602844,0.4439876079559326
middle_finger_mcp,0.4435739517211914,0.556528627872467
middle_finger_pip,0.4440687596797943,0.5027575492858887
middle_finger_dip,0.44981253147125244,0.4663810133934021
middle_finger_tip,0.4578132629394531,0.43556278944015503
ring_finger_mcp,0.4175642132759094,0.561647355556488
ring_finger_pip,0.41459688544273376,0.510643482208252
ring_finger_dip,0.41492268443107605,0.47104185819625854
ring_finger_tip,0.41804903745651245,0.4351627826690674
pinky_mcp,0.39390110969543457,0.5792434215545654
pinky_pip,0.3839631676673889,0.529795229434967
pinky_dip,0.3781610429286957,0.49636465311050415
pinky_tip,0.3757685124874115,0.4642448127269745
wrist,0.430279016494751,0.6779940128326416
thumb_cmc,0.4825643002986908,0.6412782669067383
thumb_mcp,0.5182854533195496,0.5909572839736938
thumb_ip,0.5413151979446411,0.550136387348175
thumb_tip,0.5666607022285461,0.521988034248352
index_finger_mcp,0.4764292240142822,0.5004677772521973
index_finger_pip,0.4850863218307495,0.4443105459213257
index_finger_dip,0.49387168884277344,0.4061771631240845
index_finger_tip,0.5029630064964294,0.3705497086048126
middle_finger_mcp,0.4489138424396515,0.49258026480674744
middle_finger_pip,0.45003655552864075,0.4329293370246887
middle_finger_dip,0.4554869830608368,0.3923996090888977
middle_finger_tip,0.46305128931999207,0.35687220096588135
ring_finger_mcp,0.4235383868217468,0.4966503977775574
ring_finger_pip,0.41960373520851135,0.4400097131729126
ring_finger_dip,0.41920962929725647,0.3957810401916504
ring_finger_tip,0.4213550090789795,0.35468852519989014
